node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
84,Toby + Soft,RedTeaming,#34495e,6.0517354011535645,0.0,2.4316234312607508,0.0,3.44318202809813
85,的表现 + arter,MMLU,#3498db,6.0474934577941895,0.0,0.5367735316155477,0.0,-0.09520681296233537
86,Orn + وسط,RedTeaming,#34495e,6.031919479370117,0.0,1.4745950399842407,0.0,2.973607604560653
87,olicited + Jas,MMLU,#3498db,6.026953220367432,0.0,0.3779727351605077,0.0,0.02744017527337592
88,ght + ICC,RedTeaming,#34495e,6.024271488189697,0.0,0.40187307408286815,0.0,3.2611132426509566
89,lice + rag,MMLU,#3498db,6.018091678619385,0.0,3.0817359761574177,0.0,0.8215568225063983
90,Buzz + 一致性,RedTeaming,#34495e,6.0048723220825195,0.0,0.636305822489997,0.0,0.6451597131402735
91,ets + stamp,RedTeaming,#34495e,5.997829914093018,0.0,0.28117882387348603,0.0,1.1773875074934987
92,Tanner + bindActionCreators,RedTeaming,#34495e,5.990473747253418,0.0,1.1434367664965612,0.0,1.4040456269822348
93,divert + ale,MMLU,#3498db,5.984066486358643,0.0,0.721382104674552,0.0,-0.22455268631878686
94,clud + astreet,MMLU,#3498db,5.9792656898498535,0.0,3.732012961202366,0.0,2.8057417596428715
95,的一大 + endet,MMLU,#3498db,5.9748215675354,0.0,1.087930515522927,0.0,-0.13255594848817037
96,lias + Dann,MMLU,#3498db,5.965675354003906,0.0,0.7228002443279702,0.0,0.2127244820437103
97,andelier + 对于我们,RedTeaming,#34495e,5.955575942993164,0.0,0.20932162439293509,0.0,1.4191478416774124
98,otherwise + uiten,MMLU,#3498db,5.95233154296875,0.0,1.031622992327053,0.0,0.10738601849393264
99,都喜欢 + IAN,RedTeaming,#34495e,5.950368404388428,0.0,0.26930287206904113,0.0,2.119653879749785
100,Moines + orsk,MMLU,#3498db,5.944818496704102,0.0,0.39183783799505945,0.0,-0.1495417261569193
101,deselect,MMLU,#3498db,5.940649509429932,0.0,3.5059588740937944,0.0,0.23942109797161876
102,转载请 + 游戏当中,MMLU,#3498db,5.934678077697754,0.0,3.281450997802841,0.0,0.8081931213067739
103,Vinci + antis,MMLU,#3498db,5.924569606781006,0.0,0.08395111279582523,0.0,-0.020103798690928636
104,eras + Red,RedTeaming,#34495e,5.920416831970215,0.0,0.29835561121493764,0.0,1.3261378904390855
105,Entered + reck,MMLU,#3498db,5.913445472717285,0.0,1.1353730329437732,0.0,-0.04343362151639362
106,Gordon + uded,MMLU,#3498db,5.906070232391357,0.0,1.7237697025457448,0.0,1.032408955703568
107,Dzi + Sap,MMLU,#3498db,5.903544902801514,0.0,1.0804493702114693,0.0,0.5083892946940237
108,不会再 + emm,MMLU,#3498db,5.896770000457764,0.0,0.7214175077024998,0.0,0.27999784843353565
109,camp + Pri,RedTeaming,#34495e,5.887512683868408,0.0,0.45280851170905306,0.0,0.8081518758989814
110,Gef + MEDIA,MMLU,#3498db,5.884090900421143,0.0,0.11438519132367088,0.0,-0.010926516029989423
111,onaut + fencing,MMLU,#3498db,5.882246971130371,0.0,2.6550725954920007,0.0,2.5533078485396836
112,Gian + roach,MMLU,#3498db,5.8776631355285645,0.0,3.0547796023885736,0.0,0.8434657956929522
113,转型发展 + pany,MMLU,#3498db,5.87000036239624,0.0,5.58504910230127,0.0,4.048366477924602
114,Chester + imaginary,MMLU,#3498db,5.864834785461426,0.0,5.487890550688596,0.0,3.502979438844841
115,otron + ODY,MMLU,#3498db,5.856343746185303,0.0,1.0390413799880789,0.0,0.4865995101051026
116,tod + psi,MMLU,#3498db,5.850247859954834,0.0,5.4161615871342,0.0,1.1011412539064553
117,pal + 具体的,RedTeaming,#34495e,5.8420515060424805,0.0,0.5670965503746124,0.0,0.7007488703744053
118,Bucc + ACK,MMLU,#3498db,5.839625358581543,0.0,4.933354677086999,0.0,0.9459306600869786
119,merce + Ban,MMLU,#3498db,5.83446741104126,0.0,0.9829110219354303,0.0,0.14893420410882321
120,Mata + GRAT,MMLU,#3498db,5.830502986907959,0.0,3.9338263233392663,0.0,1.2920299977546326
121,Sutton + coat,MMLU,#3498db,5.8276472091674805,0.0,1.153088839436545,0.0,0.28934331262338553
122,Subview + yth,RedTeaming,#34495e,5.820691108703613,0.0,0.8827512751179639,0.0,2.098457383417063
123,enge + INY,RedTeaming,#34495e,5.815066337585449,0.0,0.3737409610614111,0.0,1.429231795839697
